id,seller_id,name,description,price,stock,category,image_url,created_at
1,31,Tea - Black Currant,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",66.0,6,Plumbing & Medical Gas,http://dummyimage.com/120x100.png/ff4444/ffffff,2/22/2025
2,5,Pears - Bartlett,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",6.97,42,Asphalt Paving,http://dummyimage.com/150x100.png/cc0000/ffffff,1/30/2025
3,10,Sprouts - Baby Pea Tendrils,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",49.11,94,EIFS,http://dummyimage.com/120x100.png/cc0000/ffffff,5/9/2024
4,20,Bouq All Italian - Primerba,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",43.25,23,Retaining Wall and Brick Pavers,http://dummyimage.com/247x100.png/dddddd/000000,6/28/2024
5,28,Juice - Ocean Spray Kiwi,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",51.76,21,Epoxy Flooring,http://dummyimage.com/135x100.png/dddddd/000000,2/26/2025
6,34,Wine - Ej Gallo Sierra Valley,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",49.81,42,Waterproofing & Caulking,http://dummyimage.com/221x100.png/5fa2dd/ffffff,3/12/2025
7,24,Oven Mitts 17 Inch,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",36.17,73,Masonry,http://dummyimage.com/177x100.png/ff4444/ffffff,1/11/2025
8,8,Milk - Chocolate 250 Ml,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",86.1,97,Roofing (Asphalt),http://dummyimage.com/123x100.png/ff4444/ffffff,8/17/2024
9,15,"Pork - Loin, Bone - In","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",26.35,9,Masonry & Precast,http://dummyimage.com/221x100.png/dddddd/000000,5/30/2024
10,19,Slt - Individual Portions,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,79.03,78,Casework,http://dummyimage.com/238x100.png/5fa2dd/ffffff,3/21/2025
